SRR,Herbarium,Voucher Identifier,Location,Approximate Latitude,Approximate Longitude,Invaded,Collection Year,Specimen Comments,total number of reads (flagstat),number mapped (transcriptome),% mapped,% duplicate,total number (genomic reference),number mapped (genomic reference),% mapped (genomic reference),% duplicate (genomic reference),Specimen Link
SRR29127757,VDB,Carter 16845,Georgia,31.51865,-82.6263,Y,2006,,64797059,13987424,21.59,0.143011,70550205,65975090,93.52,,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=890513&clid=0
SRR29127758,VDB,Carter 17651,Georgia,31.03283,-82.76145,Y,2007,,62529197,13515157,21.61,0.13601,68274199,64338049,94.23,,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=890512&clid=0
SRR29127762,VDB,Keener 3265,Alabama,33.121111,-87.667778,Y,2006,,58631041,11655685,19.88,0.175613,63481664,58368427,91.95,,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2933052&clid=0
SRR29127755,VDB,MacDonald 10945,Mississippi,33.264338,-89.150031,Y,1997,"Coords are approximate, based on locality description: 0.7 miles SW of Choctaw Lake, Tombigbee National Forest",50447184,10858946,21.53,0.125728,54413329,51421720,94.5,0.029495,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=889141&clid=0
SRR29127796,VDB,Spaulding 12162,Alabama,32.030639,-85.462028,Y,2001,,50088405,10050917,20.07,0.212036,54259803,50497652,93.07,0.118488,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2933053&clid=0
SRR29127756,VDB,Carter 16972,Georgia,31.86043,-81.43398,Y,2006,,49888599,10125113,20.3,0.170283,54594917,50890934,93.22,0.062499,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=890515&clid=0
SRR29127760,VDB,Athey s.n.,Florida,30.173586,-85.186772,Y,1976,"Coords are approximate, based on locality description: At Fish Camp on Charlies Dead Lakes.",48232945,9162362,19,0.133618,51234556,45895737,89.58,0.05023,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=889317&clid=0
SRR29127759,VDB,Leonard 7937,Florida,28.634916,-82.401347,Y,1982,"Coords are approximate, based on locality description: N of Rt. 476 and opposite quarry entrance that is 0.7 mi. E on Rt. 476 from Rt. 491",37579961,7397583,19.68,0.105876,39422893,35040968,88.88,0.022635,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=887477&clid=0
SRR29127734,USCH,Nelson 30222,South Carolina,33.0618,-81.5672,Y,2012,,31900872,7289837,22.85,0.139535,35062772,32660683,93.15,0.022884,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=4309129&clid=0
SRR29127787,UC,Togasi 1181,Japan,34.822,135.388,N,1955,Coords are for Yamamoto Station,31755732,7122894,22.43,0.117743,32835112,30357347,92.45,0.023612,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513124&clid=0
SRR29127790,VDB,Short 847,Alabama,31.883833,-85.133355,Y,1976,"Coords are approximate, based on locality description: Old River bridge route, Eufaula city limits",30391903,6295200,20.71,0.248197,32958502,30957476,93.93,0.166107,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2850120&clid=0
SRR29127784,UC,Charette 1523,Japan,34.166667,132.166667,N,1953,,29458665,7388248,25.08,0.097938,31988975,30816308,96.33,0.01944,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=319842&clid=0
SRR29127735,USCH,Nelson 31410,South Carolina,33.1972,-79.5106,Y,2012,,29088598,6906971,23.74,0.137318,31916341,30008899,94.02,0.035561,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=4309142&clid=0
SRR29127792,FLAS,Smith B2014-909,Florida,30.222157,-85.592924,Y,2014,"Coords are approximate, based on locality description: GAC contractors at intersection of US 231 and Mill Bayou",28370695,6489715,22.87,0.128038,31223978,29282811,93.78,0.015881,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1372463&clid=0
SRR29127733,FLAS,Ward 8481,Florida,30.669293,-85.517285,Y,1972,"Coords are approximate, based on locality description: Orange Hill, SE of Chipley, FL",27986391,6537571,23.36,0.203449,30599234,29140621,95.23,0.131456,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1374384&clid=0
SRR29127729,FLAS,Hassell B2014-310,Florida,30.64742,-81.903908,Y,2014,,27265887,6132660,22.49,0.170266,30329647,28451213,93.81,0.020855,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1373686&clid=0
SRR29127791,FLAS,Judd 8010,Florida,29.632251,-82.369117,Y,2001,"Coords are approximate, based on locality description: NATL on UF campus",25233981,6175941,24.47,0.105882,27629961,26490477,95.88,0.018632,
SRR29127732,FLAS,Abbott 1653,Florida,27.902774,-82.777936,Y,1992,"Coords are approximate, based on locality description: near and along railroad along Donegan Rd ",24529885,6036678,24.61,0.129573,26815558,25693982,95.82,0.048793,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1372948&clid=0
SRR29127727,FLAS,Koch 91,Florida,29.959467,-82.953583,Y,2007,,22831174,5161678,22.61,0.095659,24726299,22999176,93.02,0.022955,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1372882&clid=0
SRR29127728,FLAS,Abbott 13857,Florida,30.2456667,-85.0048167,Y,2000,,22522337,5205948,23.11,0.109757,24584373,23436547,95.33,0.029697,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1373298&clid=0
SRR29127767,UC,Gaoligon Shand Biodiversity Survey 17184,China,24.888056,98.69,N,2003,,21331893,5331322,24.99,0.08722,23161575,22116448,95.49,0.020475,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513109&clid=0
SRR29127737,KANU,Coile 2209,Georgia,32.84,-83.63,Y,1980,"Coords are approximatel, based on locality description: Burns Brick Company S of Macon, GA",21136594,4403309,20.83,0.182314,22251064,21145779,95.03,0.124611,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=4602953&clid=0
SRR29127743,NLU,Tan 32,Florida,29.909928,-82.578941,Y,1989,"Coords are approximate, based on locality description: Pareners Branch Loop, O'Leno State Park",21046639,4583720,21.78,0.09783,22396965,21124581,94.32,0.035509,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854376&clid=0
SRR29127797,BRIT,Peck 2338,Arkansas,34.09113,-92.547037,Y,2002,"Coords are approximate, based on locality description: 3 mi south of Ivy, AR in Dallas County on AR-229",20488145,4060343,19.82,0.219157,22306734,20608053,92.38,0.136058,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2838774&clid=0
SRR29127748,NLU,Arnett 425,Louisiana,31.401892,-92.267307,Y,2002,"Coords are approximate, based on locality description: 0.2 km W of Flagon Bayou",20481527,3932726,19.2,0.103772,22269756,19409882,87.16,0.026041,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2172435&clid=0
SRR29127785,UC,Nishida 27,Japan,35.14391,139.15454,N,1952,"Coords are approximate, based on locality description: Manazuru point, Kanagawa",20278567,5008048,24.7,0.081377,21693878,20810390,95.93,0.021059,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513175&clid=0
SRR29127761,VDB,Diamond 12571,Alabama,31.42,-86.82,Y,2001,"Coords are approximate, based on locality description: Section 7, Township 9 North, Range 16 East in Butler County, Alabama",20090885,4142450,20.62,0.095399,21801198,20501883,94.04,0.01997,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=886276&clid=0
SRR29127736,FLAS,Judd 8010,Florida,29.632251,-82.369117,Y,2001,"Coords are approximate, based on locality description: NATL on UF campus",20076156,4875042,24.28,0.114135,21870332,20953572,95.81,0.037742,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1373593&clid=0
SRR29127795,FLAS,Perkins 303,Florida,30.157755,-85.184772,Y,1977,"Coords are approximate, based on locality description: 12 mi NE of Port St. Joe, E of 71, near Cypress Creek",19985113,4567955,22.86,0.081544,21017313,20344312,96.8,0.028007,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1374691&clid=0
SRR29127770,UC,Cheng 998,China,N/A,N/A,N,1948,Can't determine location,19021698,4872907,25.62,0.095375,20379764,19703967,96.68,0.027332,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513114&clid=0
SRR29127763,VDB,Diamond 14037,Alabama,32.887222,-87.342222,Y,2003,,18877494,3821972,20.25,0.119246,20603516,19283829,93.59,0.043079,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=887237&clid=0
SRR29127789,UC,Miyoshi s.n.,China,N/A,N/A,N,1956,Can't determine location,18074840,4363830,24.14,0.070165,19120147,18207241,95.23,0.019796,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513167&clid=0
SRR29127738,KANU,Snyder 1247,Georgia,32.184965,-83.914607,Y,1985,,17799001,3608737,20.27,0.14047,18732634,17726164,94.63,0.087881,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=4275620&clid=0
SRR29127741,NLU,Resico s.n.,Florida,27.9,-82.16,Y,1974,"Coords are approximate, based on locality description: between Alderman Ford and Alafia bridge",17583816,2105285,11.97,0.153978,17997751,10564092,58.7,0.100053,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854375&clid=0
SRR29127769,UC,Tsang 21058,China,24.35909,116.654527,N,1932,,17439722,4596711,26.36,0.092539,18430634,17666039,95.85,0.028077,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=917225&clid=0
SRR29127744,NLU,Hansen 2001-51,Alabama,32.594583,-85.488194,Y,2001,,17388713,3597596,20.69,0.086847,18352148,17239104,93.94,0.036991,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854395&clid=0
SRR29127726,FLAS,Gholson Jr 3090,Florida,30.733813,-84.933474,Y,1973,"Coords are approximate, based on locality description: Sneads Landing, Lake Seminole, FL",16821192,3976116,23.64,0.086742,17519130,16734818,95.52,0.017992,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1368009&clid=0
SRR29127739,NLU,Joye 386,Georgia,31.21652,-83.274219,Y,1981,"Coords are approximate, based on locality description: W of Nashville along Withlacoochee River on Ga. 125",16767185,3235769,19.3,0.310581,17422646,16042136,92.08,0.247673,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854372&clid=0
