Ind,Herbarium,Voucher Identifier,Location,Approx. Latitude,Approx. Longitude,Invaded,Collection Year,Temporal_Group,Specimen Comments,total # bases ,Specimen Link
SRR29127728,FLAS,Abbott 13857,Florida,30.2456667,-85.0048167,Y,2000,late invasion,,3381444774,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1373298&clid=0
SRR29127732,FLAS,Abbott 1653,Florida,27.902774,-82.777936,Y,1992,mid invasion,"Coords are approximate, based on locality description: near and along railroad along Donegan Rd ",3680346556,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1372948&clid=0
SRR29127779,BRIT,Ajilvsgi 4739,Louisiana,32.202609,-93.228273,Y,1977,mid invasion,"Coords are approximate, based on locality description: 1mi northeast of Womack, LA",2265328274,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2840100&clid=0
SRR29127748,NLU,Arnett 425,Louisiana,31.130923,-92.541991,Y,2002,late invasion,"Coords are approximate, based on locality description: 0.2 km W of Flagon Bayou",3075570114,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2172435&clid=0
SRR29127760,VDB,Athey s.n.,Florida,30.173586,-85.186772,Y,1976,mid invasion,"Coords are approximate, based on locality description: At Fish Camp on Charlies Dead Lakes.",7259244064,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=889317&clid=0
SRR29127753,BRIT,Blacklock 258,Arkansas,33.831741,-94.354619,Y,2003,late invasion,"Coords are approximate, based on locality description: Winthrop, AR",1920250692,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2840466&clid=0
SRR29127749,NLU,Bruce 49,Arkansas,30.499856,-93.311978,Y,1985,mid invasion,"Coords are approximate, based on locality description: 0.25 mi north of dead end of Guillott Road, north of LA12, Beauregard",1833072956,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854217&clid=0
SRR29127731,VDB,Bryson 25438,Alabama,30.892145,-87.792427,Y,2017,late invasion,,1865401754,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=3710033&clid=0
SRR29127794,FLAS,Burkhalter 5663,Florida,30.636586,-87.275449,Y,1977,mid invasion,"Coords are approximate, based on locality description: 0.2 mi east of Parker Rd, Cottage Hill, Escambia County ",2006928920,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1373261&clid=0
SRR29127752,VDB,Carr 28189,Texas,30.40025,-95.086778,Y,2009,late invasion,,2395968944,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2933047&clid=0
SRR29127757,VDB,Carter 16845,Georgia,31.51865,-82.6263,Y,2006,late invasion,,9713267978,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=890513&clid=0
SRR29127756,VDB,Carter 16972,Georgia,31.86043,-81.43398,Y,2006,late invasion,,7501647384,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=890515&clid=0
SRR29127758,VDB,Carter 17651,Georgia,31.03283,-82.76145,Y,2007,late invasion,,9373564486,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=890512&clid=0
SRR29127765,UC,Cavalerie 71,China,26.842964,107.290284,N,1909,native,Can't determine location,890208118,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513154&clid=0
SRR29127784,UC,Charette 1523,Japan,34.166667,132.166667,N,1953,native,,4412739440,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=319842&clid=0
SRR29127770,UC,Cheng 998,China,30.728048,116.512544,N,1948,native,Can't determine location,2861388694,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=1513114&clid=0
SRR29127737,KANU,Coile 2209,Georgia,32.84,-83.63,Y,1980,mid invasion,"Coords are approximatel, based on locality description: Burns Brick Company S of Macon, GA",3191046760,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=4602953&clid=0
SRR29127799,BRIT,Correll 13330,Texas,30.099236,-93.755114,Y,1946,early invasion,"Coords are approximate, based on locality description: 1 mi west of Orange, TX ",1041556928,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=290748&clid=0
SRR29127750,NLU,Damuth 1,Texas,30.557634,-94.179513,Y,1987,mid invasion,"Coords are approximate, based on locality description: 1.6 mi south of Fred, TX on hwy 92",1967764050,https://www.pteridoportal.org/portal/collections/individual/index.php?occid=2854350&clid=0
